"Not found","Not found"
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"I would like to receive exclussive offers.","I would like to receive exclussive offers."
"I have read and accept the <a href=""%1"">Privacy Policies</a>","I have read and accept the <a href=""%1"">Privacy Policies</a>"
"Partner Id","Partner Id"
"Description Attribute","Description Attribute"
"Model Attribute","Model Attribute"
"Vendor attribute","Vendor attribute"
"Extra attributes","Extra attributes"
"Privacy policies URL","Privacy policies URL"
