"I would like to receive exclussive offers.","Quiero recibir ofertas exclusivas."
"I have read and accept the <a href=""%1"">Privacy Policies</a>","He leído y acepto las <a href=""%1"">políticas de privacidad</a>"
"Partner Id","Partner Id"
"Description Attribute","Atributo de descripción"
"Model Attribute","Atributo de modelo"
"Vendor attribute","Atributo de marca"
"Extra attributes","Atributos extra"
"Privacy policies URL","URL de políticas de privacidad del sitio"
"Retail Rocket feed generation completed successfully.","La generación del feed xml Retail Rocket se completó exitosamente."
"Retail Rocket feed generation failed.","La generación del feed xml Retail Rocket falló."
"Partner Id","Partner Id"
"Always subscribe customer email in checkout success page","Suscribir al cliente a novedades automáticamente luego de una compra exitosa"
"Click ""Generate Retail Rocket Feed"" button below. After the process is done every store you have in Magento will have one xml feed.","Click ""Generate Retail Rocket Feed"" button below. After the process is done every store you have in Magento will have one xml feed."
"Generate Retail Rocket Feed Manually","Generar el feed xml de Retail Rocket manualmente"
"Last category","Última categoría"
"Last 2 categories","Últimas 2 categorías"
"Quantity of categories to send in feed","Cantidad de categorías a enviar en feed"
"User Manual","Manual de usuario"
"User Manual / Wiki","Manual de usuario / Wiki"
"Add Store param to Product URL","Agregar el parámetro store a la URL del producto"
"It will add ?___store={store_code}","Agregará ?___store={store_code}"

